                   Temperature                        Energy                Energy squared                 Magnetization         Magnetization squared        Magnetization absolute                 Specific heat       Magnetic susceptibility
                        1.5000                       -1.9448                        3.7828                        0.0071                        0.9083                        0.9319                        1.3632                      137.6191
                        1.7066                       -1.8942                        3.5883                       -0.0000                        0.9235                        0.9554                        0.6239                       32.5770
                        1.7885                       -1.8625                        3.4692                       -0.0449                        0.9024                        0.9440                        0.7014                       32.6138
                        1.8439                       -1.8378                        3.3778                        0.0647                        0.8912                        0.9404                        0.6608                       19.4610
                        1.8871                       -1.8156                        3.2970                        0.0019                        0.8772                        0.9336                        0.6847                       15.6787
                        1.9231                       -1.7956                        3.2245                       -0.0370                        0.8654                        0.9284                        0.6819                        9.2596
                        1.9543                       -1.7766                        3.1568                        0.0460                        0.8541                        0.9236                        0.6706                        2.9405
                        1.9822                       -1.7579                        3.0908                        0.0544                        0.8389                        0.9151                        0.7268                        3.9818
                        2.0076                       -1.7400                        3.0281                       -0.0363                        0.8260                        0.9087                        0.7395                        0.4403
                        2.0311                       -1.7220                        2.9660                        0.0449                        0.8100                        0.8995                        0.7993                        1.9994
                        2.0530                       -1.7042                        2.9049                       -0.0449                        0.7945                        0.8910                        0.8471                        1.4689
                        2.0736                       -1.6864                        2.8447                       -0.0352                        0.7785                        0.8821                        0.8893                        0.8634
                        2.0933                       -1.6684                        2.7845                        0.0174                        0.7614                        0.8724                        0.9416                        0.8996
                        2.1121                       -1.6502                        2.7240                       -0.0597                        0.7426                        0.8612                        1.0082                        2.1308
                        2.1301                       -1.6316                        2.6630                        0.0765                        0.7234                        0.8502                        1.0585                        1.3772
                        2.1476                       -1.6124                        2.6009                        0.0251                        0.7023                        0.8376                        1.1298                        1.7387
                        2.1646                       -1.5926                        2.5374                       -0.1400                        0.6789                        0.8234                        1.2049                        2.3099
                        2.1812                       -1.5720                        2.4724                       -0.0240                        0.6531                        0.8073                        1.2916                        3.2106
                        2.1974                       -1.5503                        2.4046                        0.0078                        0.6236                        0.7884                        1.3890                        4.5990
                        2.2133                       -1.5271                        2.3335                        0.0242                        0.5888                        0.7654                        1.5159                        6.8708
                        2.2290                       -1.5023                        2.2584                       -0.1469                        0.5472                        0.7361                        1.6754                       12.4022
                        2.2445                       -1.4742                        2.1751                       -0.0114                        0.4921                        0.6942                        1.8962                       23.6561
                        2.2598                       -1.4436                        2.0862                        0.0346                        0.4253                        0.6380                        2.1266                       41.9875
                        2.2750                       -1.4099                        1.9901                       -0.0054                        0.3430                        0.5609                        2.2743                       64.7064
                        2.2902                       -1.3744                        1.8913                       -0.0010                        0.2532                        0.4644                        2.2632                       84.9623
                        2.3053                       -1.3421                        1.8033                        0.0114                        0.1801                        0.3776                        2.0418                       84.3109
                        2.3205                       -1.3134                        1.7268                        0.0017                        0.1264                        0.3064                        1.7844                       72.5921
                        2.3357                       -1.2879                        1.6602                       -0.0005                        0.0883                        0.2494                        1.5563                       57.9309
                        2.3510                       -1.2652                        1.6022                        0.0048                        0.0647                        0.2104                        1.4015                       45.0491
                        2.3664                       -1.2446                        1.5505                        0.0018                        0.0493                        0.1817                        1.2891                       35.6438
                        2.3820                       -1.2249                        1.5016                       -0.0019                        0.0383                        0.1589                        1.2032                       28.3193
                        2.3979                       -1.2065                        1.4570                        0.0023                        0.0314                        0.1437                        1.1390                       23.2862
                        2.4140                       -1.1886                        1.4141                        0.0006                        0.0254                        0.1287                        1.0770                       19.0686
                        2.4304                       -1.1714                        1.3732                        0.0004                        0.0213                        0.1176                        1.0298                       16.0238
                        2.4473                       -1.1544                        1.3339                        0.0008                        0.0183                        0.1087                        0.9780                       13.7633
                        2.4646                       -1.1379                        1.2958                        0.0000                        0.0158                        0.1011                        0.9369                       11.8583
                        2.4825                       -1.1216                        1.2590                        0.0007                        0.0138                        0.0944                        0.8962                       10.2822
                        2.5011                       -1.1052                        1.2225                        0.0004                        0.0120                        0.0876                        0.8574                        8.9085
                        2.5204                       -1.0889                        1.1867                       -0.0003                        0.0106                        0.0824                        0.8251                        7.7798
                        2.5408                       -1.0725                        1.1512                        0.0008                        0.0094                        0.0776                        0.7914                        6.8633
                        2.5623                       -1.0558                        1.1157                       -0.0002                        0.0083                        0.0731                        0.7571                        6.0669
                        2.5852                       -1.0388                        1.0801                       -0.0003                        0.0074                        0.0689                        0.7243                        5.3641
                        2.6100                       -1.0213                        1.0440                       -0.0000                        0.0066                        0.0650                        0.6929                        4.7368
                        2.6371                       -1.0029                        1.0068                       -0.0001                        0.0059                        0.0612                        0.6620                        4.1695
                        2.6672                       -0.9836                        0.9684                        0.0002                        0.0053                        0.0579                        0.6283                        3.6981
                        2.7016                       -0.9625                        0.9273                       -0.0001                        0.0046                        0.0544                        0.5946                        3.2168
                        2.7423                       -0.9391                        0.8828                        0.0001                        0.0041                        0.0509                        0.5607                        2.7814
                        2.7932                       -0.9116                        0.8318                       -0.0002                        0.0035                        0.0474                        0.5214                        2.3600
                        2.8645                       -0.8763                        0.7686                       -0.0001                        0.0030                        0.0434                        0.4724                        1.9345
                        3.0000                       -0.8173                        0.6687                        0.0001                        0.0022                        0.0378                        0.4004                        1.4032
