                   Temperature                        Energy                Energy squared                 Magnetization         Magnetization squared        Magnetization absolute                 Specific heat       Magnetic susceptibility
                        1.5000                       -1.9509                     8769.2098                        0.0387                     2238.1444                        0.9850                        0.2301                     1489.7924
                        1.7066                       -1.8959                     8282.4721                       -0.0001                     2164.4387                        0.9691                        0.3521                     1268.2902
                        1.7885                       -1.8643                     8008.8750                        0.0575                     2117.3876                        0.9586                        0.4260                     1179.6414
                        1.8439                       -1.8390                     7793.4633                        0.0095                     2077.5162                        0.9495                        0.4883                     1126.5779
                        1.8871                       -1.8167                     7605.9869                        0.0188                     2041.0048                        0.9411                        0.5447                     1081.1356
                        1.9231                       -1.7962                     7435.2712                       -0.0093                     2006.0323                        0.9330                        0.5955                     1043.0362
                        1.9543                       -1.7768                     7276.0317                       -0.1202                     1971.8214                        0.9250                        0.6423                      991.9115
                        1.9822                       -1.7582                     7124.8576                        0.0825                     1937.9055                        0.9170                        0.6937                      969.7243
                        2.0076                       -1.7400                     6978.2696                       -0.0182                     1903.4983                        0.9087                        0.7392                      947.7619
                        2.0311                       -1.7221                     6835.6897                        0.0541                     1868.4925                        0.9003                        0.7899                      916.6413
                        2.0530                       -1.7043                     6696.1514                       -0.0177                     1832.3370                        0.8915                        0.8382                      892.1768
                        2.0736                       -1.6864                     6556.4524                        0.0265                     1794.6856                        0.8822                        0.8874                      864.7025
                        2.0933                       -1.6684                     6417.6294                        0.0175                     1755.0604                        0.8723                        0.9420                      838.0891
                        2.1121                       -1.6504                     6279.9951                        0.0259                     1714.1755                        0.8620                        0.9990                      810.8802
                        2.1301                       -1.6316                     6138.2892                       -0.0170                     1668.5334                        0.8502                        1.0636                      782.9807
                        2.1476                       -1.6124                     5995.3655                        0.0502                     1620.3310                        0.8376                        1.1321                      751.7622
                        2.1646                       -1.5927                     5850.2919                       -0.0319                     1566.9698                        0.8234                        1.2067                      722.8119
                        2.1812                       -1.5718                     5698.3362                        0.0097                     1506.7928                        0.8068                        1.2992                      690.7121
                        2.1974                       -1.5502                     5543.2411                       -0.0001                     1441.1931                        0.7882                        1.3946                      655.8658
                        2.2133                       -1.5270                     5379.8699                       -0.0173                     1364.0046                        0.7652                        1.5196                      615.9642
                        2.2290                       -1.5020                     5206.2399                        0.0815                     1272.0708                        0.7361                        1.6627                      563.8345
                        2.2445                       -1.4752                     5022.9803                        0.0358                     1165.9147                        0.7005                        1.8135                      518.1475
                        2.2598                       -1.4459                     4827.0893                        0.0442                     1039.3224                        0.6543                        1.9796                      457.9259
                        2.2750                       -1.4156                     4627.8041                       -0.0093                      903.5702                        0.6011                        2.0817                      397.0851
                        2.2902                       -1.3826                     4415.5142                        0.0221                      747.0158                        0.5345                        2.1156                      325.6928
                        2.3053                       -1.3517                     4220.4801                       -0.0023                      609.3747                        0.4716                        2.0339                      264.3289
                        2.3205                       -1.3222                     4037.7492                       -0.0052                      483.5540                        0.4101                        1.8651                      208.3593
                        2.3357                       -1.2953                     3875.0466                       -0.0041                      382.2327                        0.3561                        1.6982                      163.6326
                        2.3510                       -1.2706                     3728.0176                        0.0061                      300.9104                        0.3096                        1.5266                      127.9575
                        2.3664                       -1.2481                     3596.7826                       -0.0005                      239.3049                        0.2719                        1.3910                      101.1254
                        2.3820                       -1.2272                     3477.3458                       -0.0019                      192.0346                        0.2403                        1.2694                       80.6149
                        2.3979                       -1.2080                     3369.0113                        0.0008                      158.4876                        0.2162                        1.1849                       66.0950
                        2.4140                       -1.1896                     3267.2340                       -0.0003                      131.9672                        0.1961                        1.1094                       54.6683
                        2.4304                       -1.1720                     3170.6284                        0.0011                      110.7221                        0.1786                        1.0405                       45.5559
                        2.4473                       -1.1549                     3078.7859                       -0.0005                       94.7326                        0.1647                        0.9885                       38.7094
                        2.4646                       -1.1381                     2990.0964                       -0.0022                       81.5215                        0.1523                        0.9435                       33.0726
                        2.4825                       -1.1217                     2904.4779                       -0.0010                       71.0056                        0.1418                        0.9034                       28.6018
                        2.5011                       -1.1053                     2820.1680                        0.0001                       62.2458                        0.1324                        0.8647                       24.8878
                        2.5204                       -1.0889                     2737.0227                       -0.0004                       54.9846                        0.1243                        0.8265                       21.8154
                        2.5408                       -1.0724                     2655.0052                        0.0000                       48.4555                        0.1165                        0.7910                       19.0712
                        2.5623                       -1.0558                     2573.1838                        0.0000                       43.0891                        0.1098                        0.7579                       16.8167
                        2.5852                       -1.0389                     2491.3952                        0.0006                       38.4625                        0.1037                        0.7227                       14.8775
                        2.6100                       -1.0213                     2407.8869                       -0.0001                       34.2715                        0.0978                        0.6933                       13.1308
                        2.6371                       -1.0030                     2322.3224                        0.0001                       30.4869                        0.0921                        0.6591                       11.5608
                        2.6672                       -0.9835                     2233.2414                        0.0001                       27.1376                        0.0869                        0.6270                       10.1745
                        2.7016                       -0.9625                     2138.8464                        0.0000                       23.9254                        0.0816                        0.5937                        8.8560
                        2.7423                       -0.9392                     2036.3880                       -0.0002                       21.0927                        0.0765                        0.5607                        7.6917
                        2.7932                       -0.9116                     1918.8196                       -0.0002                       18.1977                        0.0711                        0.5204                        6.5149
                        2.8645                       -0.8764                     1773.5795                       -0.0001                       15.1938                        0.0649                        0.4728                        5.3042
                        3.0000                       -0.8173                     1542.5195                        0.0001                       11.5564                        0.0566                        0.4018                        3.8521
