                   Temperature                        Energy                Energy squared                 Magnetization         Magnetization squared        Magnetization absolute                 Specific heat       Magnetic susceptibility
                        1.5000                       -1.9511                     4934.2827                       -0.0492                     1261.1529                        0.9864                        0.1990                      838.6785
                        1.7066                       -1.8960                     4659.7214                       -0.0291                     1217.9100                        0.9694                        0.3467                      713.0136
                        1.7885                       -1.8643                     4505.7056                        0.0863                     1191.1197                        0.9586                        0.4273                      660.6025
                        1.8439                       -1.8389                     4384.2409                        0.0285                     1168.6512                        0.9495                        0.4895                      633.2198
                        1.8871                       -1.8167                     4279.4656                        0.0659                     1148.2338                        0.9411                        0.5443                      605.4923
                        1.9231                       -1.7962                     4183.3183                       -0.0373                     1128.5545                        0.9330                        0.5963                      585.9124
                        1.9543                       -1.7766                     4093.2585                       -0.0648                     1109.2622                        0.9249                        0.6468                      564.8138
                        1.9822                       -1.7582                     4008.7964                        0.0367                     1090.3326                        0.9169                        0.6919                      549.1751
                        2.0076                       -1.7401                     3927.1932                       -0.0364                     1071.3258                        0.9089                        0.7383                      532.7789
                        2.0311                       -1.7221                     3846.7584                        0.1261                     1051.6011                        0.9004                        0.7856                      507.6149
                        2.0530                       -1.7044                     3768.4089                        0.0357                     1031.4889                        0.8916                        0.8376                      501.6333
                        2.0736                       -1.6864                     3689.6653                        0.0351                     1010.0684                        0.8822                        0.8923                      486.3304
                        2.0933                       -1.6686                     3612.4362                        0.1010                      988.3466                        0.8724                        0.9425                      465.8367
                        2.1121                       -1.6502                     3533.5888                        0.0518                      964.7531                        0.8618                        0.9986                      455.1370
                        2.1301                       -1.6317                     3455.3355                        0.0918                      940.0277                        0.8503                        1.0651                      436.1732
                        2.1476                       -1.6124                     3374.5031                        0.0259                      912.8635                        0.8375                        1.1300                      424.6489
                        2.1646                       -1.5925                     3292.4346                       -0.0010                      883.2845                        0.8232                        1.2083                      408.0527
                        2.1812                       -1.5719                     3208.3834                       -0.0311                      850.7935                        0.8069                        1.2982                      389.4835
                        2.1974                       -1.5504                     3121.9470                        0.0300                      815.5683                        0.7888                        1.3818                      370.6236
                        2.2133                       -1.5272                     3030.0127                        0.0284                      773.1811                        0.7655                        1.5087                      348.8629
                        2.2290                       -1.5028                     2935.0921                        0.0002                      727.5421                        0.7398                        1.6132                      326.4028
                        2.2445                       -1.4765                     2834.1988                       -0.0173                      674.0308                        0.7073                        1.7489                      300.1381
                        2.2598                       -1.4491                     2731.1237                       -0.0238                      616.0586                        0.6704                        1.8570                      272.2930
                        2.2750                       -1.4204                     2624.6668                        0.0022                      553.0431                        0.6279                        1.9361                      243.0922
                        2.2902                       -1.3910                     2517.9190                       -0.0069                      487.9952                        0.5814                        1.9668                      213.0545
                        2.3053                       -1.3610                     2410.8504                       -0.0017                      419.9433                        0.5301                        1.9382                      182.1610
                        2.3205                       -1.3326                     2311.3852                       -0.0046                      360.1136                        0.4823                        1.8595                      155.1780
                        2.3357                       -1.3043                     2214.4322                        0.0050                      300.0313                        0.4310                        1.7524                      128.4417
                        2.3510                       -1.2792                     2129.5781                        0.0070                      253.2176                        0.3895                        1.6190                      107.6806
                        2.3664                       -1.2555                     2051.1750                        0.0072                      212.8240                        0.3514                        1.4850                       89.9072
                        2.3820                       -1.2330                     1977.8612                        0.0002                      176.8453                        0.3157                        1.3603                       74.2417
                        2.3979                       -1.2123                     1911.9502                       -0.0007                      149.6962                        0.2868                        1.2615                       62.4291
                        2.4140                       -1.1928                     1850.7379                        0.0047                      126.3977                        0.2609                        1.1691                       52.3492
                        2.4304                       -1.1741                     1792.8759                        0.0003                      107.7872                        0.2391                        1.0849                       44.3493
                        2.4473                       -1.1564                     1739.0549                       -0.0002                       92.4920                        0.2199                        1.0201                       37.7941
                        2.4646                       -1.1390                     1687.2281                       -0.0018                       80.5058                        0.2042                        0.9655                       32.6632
                        2.4825                       -1.1222                     1637.7800                       -0.0002                       70.0524                        0.1896                        0.9130                       28.2187
                        2.5011                       -1.1059                     1590.3674                       -0.0007                       62.0562                        0.1778                        0.8735                       24.8118
                        2.5204                       -1.0891                     1542.6077                        0.0013                       54.5653                        0.1664                        0.8306                       21.6484
                        2.5408                       -1.0728                     1496.7048                        0.0002                       48.5528                        0.1566                        0.7941                       19.1094
                        2.5623                       -1.0559                     1449.8213                       -0.0009                       43.0582                        0.1472                        0.7598                       16.8043
                        2.5852                       -1.0389                     1403.7214                       -0.0002                       38.4243                        0.1387                        0.7275                       14.8629
                        2.6100                       -1.0213                     1356.4661                        0.0005                       34.1493                        0.1306                        0.6919                       13.0839
                        2.6371                       -1.0031                     1308.5755                       -0.0004                       30.5496                        0.1234                        0.6632                       11.5845
                        2.6672                       -0.9836                     1258.3350                       -0.0003                       27.1352                        0.1162                        0.6281                       10.1735
                        2.7016                       -0.9626                     1205.1354                        0.0002                       24.0888                        0.1094                        0.5964                        8.9165
                        2.7423                       -0.9391                     1147.2267                       -0.0000                       21.1419                        0.1024                        0.5594                        7.7096
                        2.7932                       -0.9117                     1081.2546                        0.0005                       18.2410                        0.0950                        0.5207                        6.5303
                        2.8645                       -0.8765                      999.4311                        0.0003                       15.2200                        0.0867                        0.4728                        5.3133
                        3.0000                       -0.8173                      869.2846                       -0.0000                       11.5818                        0.0756                        0.4013                        3.8606
