                   Temperature                        Energy                Energy squared                 Magnetization         Magnetization squared        Magnetization absolute                 Specific heat       Magnetic susceptibility
                        1.5000                       -1.9511                        3.8076                        0.0000                        0.9732                        0.9865                        0.1982                        0.0272
                        1.7066                       -1.8959                        3.5961                        0.0097                        0.9398                        0.9693                        0.3472                        0.0713
                        1.7885                       -1.8641                        3.4774                       -0.0192                        0.9192                        0.9586                        0.4278                        0.1075
                        1.8439                       -1.8390                        3.3848                       -0.0190                        0.9021                        0.9495                        0.4903                        0.1440
                        1.8871                       -1.8166                        3.3035                        0.0471                        0.8862                        0.9411                        0.5441                        0.1833
                        1.9231                       -1.7961                        3.2298                       -0.0560                        0.8712                        0.9330                        0.5949                        0.2274
                        1.9543                       -1.7769                        3.1616                       -0.0647                        0.8566                        0.9250                        0.6439                        0.2792
                        1.9822                       -1.7581                        3.0956                        0.0734                        0.8419                        0.9169                        0.6938                        0.3400
                        2.0076                       -1.7400                        3.0326                       -0.0092                        0.8273                        0.9088                        0.7378                        0.4069
                        2.0311                       -1.7221                        2.9712                       -0.0450                        0.8124                        0.9004                        0.7863                        0.4914
                        2.0530                       -1.7043                        2.9109                        0.0301                        0.7970                        0.8915                        0.8372                        0.5987
                        2.0736                       -1.6864                        2.8505                       -0.0321                        0.7808                        0.8822                        0.8924                        0.7325
                        2.0933                       -1.6684                        2.7908                        0.0084                        0.7642                        0.8723                        0.9476                        0.8944
                        2.1121                       -1.6502                        2.7308                        0.0253                        0.7464                        0.8615                        1.0036                        1.1346
                        2.1301                       -1.6314                        2.6700                       -0.0267                        0.7276                        0.8500                        1.0665                        1.3999
                        2.1476                       -1.6124                        2.6088                        0.0514                        0.7079                        0.8375                        1.1275                        1.7249
                        2.1646                       -1.5927                        2.5464                       -0.0046                        0.6860                        0.8232                        1.2068                        2.2161
                        2.1812                       -1.5721                        2.4821                       -0.0084                        0.6629                        0.8077                        1.2781                        2.7647
                        2.1974                       -1.5511                        2.4172                        0.0442                        0.6383                        0.7908                        1.3510                        3.3974
                        2.2133                       -1.5288                        2.3494                        0.0231                        0.6110                        0.7711                        1.4385                        4.2751
                        2.2290                       -1.5051                        2.2785                       -0.0068                        0.5802                        0.7481                        1.5264                        5.3054
                        2.2445                       -1.4813                        2.2082                        0.0127                        0.5496                        0.7246                        1.5944                        6.3145
                        2.2598                       -1.4560                        2.1346                        0.0087                        0.5151                        0.6967                        1.6681                        7.5763
                        2.2750                       -1.4298                        2.0597                       -0.0059                        0.4786                        0.6659                        1.7216                        8.8993
                        2.2902                       -1.4039                        1.9869                        0.0082                        0.4431                        0.6351                        1.7513                        9.9716
                        2.3053                       -1.3772                        1.9129                        0.0032                        0.4053                        0.6010                        1.7593                       11.0141
                        2.3205                       -1.3506                        1.8403                        0.0054                        0.3681                        0.5663                        1.7331                       11.7722
                        2.3357                       -1.3245                        1.7703                       -0.0084                        0.3330                        0.5322                        1.6992                       12.2889
                        2.3510                       -1.2990                        1.7029                        0.0038                        0.2985                        0.4978                        1.6326                       12.4210
                        2.3664                       -1.2741                        1.6386                       -0.0032                        0.2664                        0.4641                        1.5629                       12.4129
                        2.3820                       -1.2510                        1.5794                       -0.0037                        0.2379                        0.4334                        1.4768                       12.1030
                        2.3979                       -1.2279                        1.5217                        0.0021                        0.2108                        0.4028                        1.3890                       11.6448
                        2.4140                       -1.2063                        1.4683                       -0.0004                        0.1867                        0.3750                        1.2974                       11.0015
                        2.4304                       -1.1857                        1.4184                        0.0014                        0.1659                        0.3500                        1.2165                       10.2689
                        2.4473                       -1.1656                        1.3704                        0.0013                        0.1466                        0.3258                        1.1318                        9.5134
                        2.4646                       -1.1468                        1.3262                       -0.0011                        0.1306                        0.3051                        1.0633                        8.7620
                        2.4825                       -1.1284                        1.2839                       -0.0005                        0.1163                        0.2859                        0.9984                        8.0120
                        2.5011                       -1.1105                        1.2434                       -0.0004                        0.1038                        0.2685                        0.9341                        7.2958
                        2.5204                       -1.0929                        1.2042                       -0.0023                        0.0923                        0.2514                        0.8832                        6.6373
                        2.5408                       -1.0756                        1.1663                        0.0003                        0.0826                        0.2369                        0.8339                        6.0087
                        2.5623                       -1.0579                        1.1283                       -0.0009                        0.0738                        0.2228                        0.7899                        5.4270
                        2.5852                       -1.0404                        1.0911                       -0.0004                        0.0661                        0.2103                        0.7465                        4.8849
                        2.6100                       -1.0223                        1.0535                        0.0002                        0.0590                        0.1979                        0.7090                        4.3678
                        2.6371                       -1.0039                        1.0160                       -0.0003                        0.0529                        0.1868                        0.6723                        3.9269
                        2.6672                       -0.9841                        0.9763                        0.0012                        0.0472                        0.1762                        0.6350                        3.4930
                        2.7016                       -0.9631                        0.9351                        0.0000                        0.0418                        0.1652                        0.6005                        3.0823
                        2.7423                       -0.9392                        0.8894                       -0.0005                        0.0366                        0.1543                        0.5619                        2.6743
                        2.7932                       -0.9117                        0.8382                        0.0000                        0.0317                        0.1433                        0.5224                        2.2957
                        2.8645                       -0.8763                        0.7746                       -0.0001                        0.0265                        0.1307                        0.4730                        1.8843
                        3.0000                       -0.8173                        0.6743                       -0.0002                        0.0200                        0.1135                        0.4021                        1.3716
