# 1/L, T_max_C, T_max_X
8.417508417508417140e-04 2.266726883545497451e+00 2.266478183532639079e+00
1.683501683501683428e-03 2.267449938708156587e+00 2.268321053533924658e+00
2.525252525252525033e-03 2.268172993870815723e+00 2.270163923535210682e+00
3.367003367003366856e-03 2.268896049033474860e+00 2.272006793536496261e+00
4.208754208754208678e-03 2.269619104196133996e+00 2.273849663537782284e+00
5.050505050505050067e-03 2.270342159358793133e+00 2.275692533539068307e+00
5.892255892255892323e-03 2.271065214521452269e+00 2.277535403540353887e+00
6.734006734006733712e-03 2.271788269684111405e+00 2.279378273541639910e+00
7.575757575757575100e-03 2.272511324846770542e+00 2.281221143542925489e+00
8.417508417508417357e-03 2.273234380009429678e+00 2.283064013544211512e+00
9.259259259259258745e-03 2.273957435172088815e+00 2.284906883545497092e+00
1.010101010101010013e-02 2.274680490334747951e+00 2.286749753546783115e+00
1.094276094276094152e-02 2.275403545497407087e+00 2.288592623548069138e+00
1.178451178451178465e-02 2.276126600660066224e+00 2.290435493549354717e+00
1.262626262626262603e-02 2.276849655822725360e+00 2.292278363550640741e+00
1.346801346801346742e-02 2.277572710985384496e+00 2.294121233551926320e+00
1.430976430976430881e-02 2.278295766148043633e+00 2.295964103553212343e+00
1.515151515151515020e-02 2.279018821310702769e+00 2.297806973554498366e+00
1.599326599326599332e-02 2.279741876473361906e+00 2.299649843555783946e+00
1.683501683501683471e-02 2.280464931636021042e+00 2.301492713557069969e+00
1.767676767676767610e-02 2.281187986798679734e+00 2.303335583558355548e+00
1.851851851851851749e-02 2.281911041961338871e+00 2.305178453559641572e+00
1.936026936026935888e-02 2.282634097123998007e+00 2.307021323560927595e+00
2.020202020202020027e-02 2.283357152286657143e+00 2.308864193562213174e+00
2.104377104377104166e-02 2.284080207449316280e+00 2.310707063563499197e+00
2.188552188552188305e-02 2.284803262611975416e+00 2.312549933564784777e+00
2.272727272727272790e-02 2.285526317774634553e+00 2.314392803566070800e+00
2.356902356902356929e-02 2.286249372937293689e+00 2.316235673567356823e+00
2.441077441077441068e-02 2.286972428099952825e+00 2.318078543568642402e+00
2.525252525252525207e-02 2.287695483262611962e+00 2.319921413569928426e+00
2.609427609427609346e-02 2.288418538425271098e+00 2.321764283571214005e+00
2.693602693602693485e-02 2.289141593587930235e+00 2.323607153572500028e+00
2.777777777777777624e-02 2.289864648750589371e+00 2.325450023573785607e+00
2.861952861952861762e-02 2.290587703913248507e+00 2.327292893575071631e+00
2.946127946127945901e-02 2.291310759075907644e+00 2.329135763576357654e+00
3.030303030303030040e-02 2.292033814238566780e+00 2.330978633577643233e+00
3.114478114478114179e-02 2.292756869401225917e+00 2.332821503578929256e+00
3.198653198653198665e-02 2.293479924563885053e+00 2.334664373580214836e+00
3.282828282828282457e-02 2.294202979726544189e+00 2.336507243581500859e+00
3.367003367003366943e-02 2.294926034889203326e+00 2.338350113582786882e+00
3.451178451178450735e-02 2.295649090051862462e+00 2.340192983584072461e+00
3.535353535353535220e-02 2.296372145214521598e+00 2.342035853585358485e+00
3.619528619528619706e-02 2.297095200377180735e+00 2.343878723586644064e+00
3.703703703703703498e-02 2.297818255539839871e+00 2.345721593587930087e+00
3.787878787878787984e-02 2.298541310702499008e+00 2.347564463589216111e+00
3.872053872053871776e-02 2.299264365865158144e+00 2.349407333590501690e+00
3.956228956228956262e-02 2.299987421027817280e+00 2.351250203591787713e+00
4.040404040404040054e-02 2.300710476190476417e+00 2.353093073593073292e+00
4.124579124579124539e-02 2.301433531353135553e+00 2.354935943594359316e+00
4.208754208754208331e-02 2.302156586515794690e+00 2.356778813595644895e+00
4.292929292929292817e-02 2.302879641678453826e+00 2.358621683596930918e+00
4.377104377104376609e-02 2.303602696841112962e+00 2.360464553598216941e+00
4.461279461279461095e-02 2.304325752003772099e+00 2.362307423599502521e+00
4.545454545454545581e-02 2.305048807166431235e+00 2.364150293600788544e+00
4.629629629629629373e-02 2.305771862329090371e+00 2.365993163602074123e+00
4.713804713804713858e-02 2.306494917491749508e+00 2.367836033603360146e+00
4.797979797979797650e-02 2.307217972654408644e+00 2.369678903604646170e+00
4.882154882154882136e-02 2.307941027817067781e+00 2.371521773605931749e+00
4.966329966329965928e-02 2.308664082979726917e+00 2.373364643607217772e+00
5.050505050505050414e-02 2.309387138142385609e+00 2.375207513608503351e+00
5.134680134680134206e-02 2.310110193305044746e+00 2.377050383609789375e+00
5.218855218855218692e-02 2.310833248467703882e+00 2.378893253611075398e+00
5.303030303030302484e-02 2.311556303630363018e+00 2.380736123612360977e+00
