                   Temperature                        Energy                Energy squared                 Magnetization         Magnetization squared        Magnetization absolute                 Specific heat       Magnetic susceptibility
                        1.5000                       -1.9511                        3.8100                        0.0000                        0.9735                        0.9865                        0.1977                        0.0272
                        1.7066                       -1.8960                        3.6020                       -0.0291                        0.9405                        0.9693                        0.3477                        0.0717
                        1.7885                       -1.8644                        3.4856                       -0.0690                        0.9204                        0.9587                        0.4256                        0.1066
                        1.8439                       -1.8389                        3.3933                        0.0375                        0.9034                        0.9495                        0.4901                        0.1452
                        1.8871                       -1.8166                        3.3136                       -0.0950                        0.8880                        0.9410                        0.5466                        0.1880
                        1.9231                       -1.7960                        3.2411                       -0.0081                        0.8733                        0.9328                        0.5979                        0.2338
                        1.9543                       -1.7770                        3.1749                       -0.0114                        0.8594                        0.9249                        0.6466                        0.2874
                        1.9822                       -1.7582                        3.1099                       -0.0083                        0.8455                        0.9170                        0.6903                        0.3365
                        2.0076                       -1.7398                        3.0476                       -0.0526                        0.8311                        0.9085                        0.7421                        0.4130
                        2.0311                       -1.7221                        2.9882                       -0.0102                        0.8171                        0.9001                        0.7865                        0.4904
                        2.0530                       -1.7042                        2.9288                        0.0524                        0.8028                        0.8914                        0.8345                        0.5770
                        2.0736                       -1.6864                        2.8702                        0.0581                        0.7879                        0.8821                        0.8835                        0.6781
                        2.0933                       -1.6686                        2.8124                        0.0204                        0.7731                        0.8728                        0.9287                        0.7797
                        2.1121                       -1.6507                        2.7551                        0.0318                        0.7575                        0.8627                        0.9764                        0.9083
                        2.1301                       -1.6328                        2.6982                        0.0021                        0.7416                        0.8522                        1.0235                        1.0383
                        2.1476                       -1.6142                        2.6402                       -0.0118                        0.7252                        0.8412                        1.0749                        1.1865
                        2.1646                       -1.5962                        2.5839                        0.0117                        0.7093                        0.8304                        1.1059                        1.3074
                        2.1812                       -1.5775                        2.5267                        0.0067                        0.6920                        0.8184                        1.1553                        1.4703
                        2.1974                       -1.5581                        2.4678                       -0.0130                        0.6740                        0.8056                        1.1991                        1.6431
                        2.2133                       -1.5385                        2.4091                       -0.0088                        0.6554                        0.7921                        1.2402                        1.8211
                        2.2290                       -1.5192                        2.3520                       -0.0077                        0.6372                        0.7787                        1.2753                        1.9882
                        2.2445                       -1.4986                        2.2918                       -0.0033                        0.6171                        0.7635                        1.3128                        2.1962
                        2.2598                       -1.4784                        2.2331                       -0.0029                        0.5975                        0.7486                        1.3385                        2.3655
                        2.2750                       -1.4579                        2.1745                        0.0123                        0.5777                        0.7332                        1.3636                        2.5455
                        2.2902                       -1.4373                        2.1161                       -0.0084                        0.5578                        0.7174                        1.3800                        2.7084
                        2.3053                       -1.4159                        2.0563                       -0.0024                        0.5370                        0.7006                        1.3960                        2.8798
                        2.3205                       -1.3948                        1.9977                       -0.0011                        0.5158                        0.6831                        1.3986                        3.0447
                        2.3357                       -1.3732                        1.9389                       -0.0011                        0.4949                        0.6658                        1.4077                        3.1789
                        2.3510                       -1.3518                        1.8812                        0.0018                        0.4737                        0.6479                        1.4015                        3.3081
                        2.3664                       -1.3312                        1.8263                       -0.0031                        0.4538                        0.6307                        1.3908                        3.4061
                        2.3820                       -1.3091                        1.7676                        0.0032                        0.4322                        0.6119                        1.3700                        3.4875
                        2.3979                       -1.2875                        1.7116                        0.0022                        0.4117                        0.5937                        1.3520                        3.5610
                        2.4140                       -1.2660                        1.6562                       -0.0029                        0.3909                        0.5749                        1.3231                        3.6055
                        2.4304                       -1.2454                        1.6038                        0.0009                        0.3710                        0.5567                        1.2889                        3.6225
                        2.4473                       -1.2231                        1.5482                       -0.0002                        0.3501                        0.5368                        1.2565                        3.6432
                        2.4646                       -1.2018                        1.4956                        0.0013                        0.3308                        0.5185                        1.2160                        3.6195
                        2.4825                       -1.1805                        1.4438                        0.0029                        0.3116                        0.4999                        1.1714                        3.5783
                        2.5011                       -1.1587                        1.3912                       -0.0048                        0.2919                        0.4803                        1.1205                        3.5251
                        2.5204                       -1.1369                        1.3401                       -0.0000                        0.2730                        0.4612                        1.0761                        3.4489
                        2.5408                       -1.1163                        1.2921                        0.0010                        0.2556                        0.4434                        1.0261                        3.3463
                        2.5623                       -1.0947                        1.2425                        0.0006                        0.2379                        0.4250                        0.9689                        3.2195
                        2.5852                       -1.0730                        1.1940                        0.0010                        0.2208                        0.4065                        0.9194                        3.0968
                        2.6100                       -1.0511                        1.1456                        0.0008                        0.2040                        0.3881                        0.8643                        2.9474
                        2.6371                       -1.0283                        1.0965                        0.0008                        0.1875                        0.3694                        0.8103                        2.7878
                        2.6672                       -1.0048                        1.0470                        0.0007                        0.1717                        0.3513                        0.7571                        2.6087
                        2.7016                       -0.9798                        0.9953                       -0.0004                        0.1552                        0.3316                        0.6973                        2.4124
                        2.7423                       -0.9526                        0.9410                        0.0002                        0.1392                        0.3120                        0.6434                        2.1981
                        2.7932                       -0.9216                        0.8807                        0.0007                        0.1222                        0.2901                        0.5794                        1.9609
                        2.8645                       -0.8829                        0.8087                       -0.0002                        0.1040                        0.2656                        0.5122                        1.6810
                        3.0000                       -0.8206                        0.6994                       -0.0001                        0.0800                        0.2307                        0.4172                        1.2828
