# T, C, X, magabs
-5.712585932784770115e+00 2.331430076592399814e-01 6.920300476301556244e-04 6.611179803559535939e-01
-5.169822423731583960e+00 2.549104489183640077e-01 8.585250018063142778e-04 6.554277714080382067e-01
-4.699427382552158861e+00 2.759066028887789401e-01 1.054090503537040337e-03 6.498078119533068353e-01
-4.278785663035939990e+00 2.972884005035484334e-01 1.283634567344533409e-03 6.441176030053914481e-01
-3.895835853870636356e+00 3.161420897831046517e-01 1.536208545448501531e-03 6.384273940574759498e-01
-3.541531896572031712e+00 3.369239972844337294e-01 1.855229489391481239e-03 6.325264366300080709e-01
-3.211350761898010830e+00 3.587342878373749877e-01 2.260329457262270740e-03 6.262742317366194467e-01
-2.900769420606466920e+00 3.823870980244545859e-01 2.765477413470207851e-03 6.197410288704944259e-01
-2.603757167041248266e+00 4.060399082115342950e-01 3.376713991273383626e-03 6.127863290452644218e-01
-2.320314001202366860e+00 4.300355127491513607e-01 4.283564059144433396e-03 6.051993837813771648e-01
-2.048932246675771118e+00 4.569877185601533554e-01 5.285176561251800180e-03 5.971206920652009087e-01
-1.785088874219360688e+00 4.831257877886290242e-01 6.512180191801722300e-03 5.883395054171832728e-01
-1.528783883833136015e+00 5.171052777856475213e-01 8.366654602035941343e-03 5.782938278918510200e-01
-1.278509599103057059e+00 5.476568242772921202e-01 1.043783673040420829e-02 5.674051564483091337e-01
-1.034266020029124267e+00 5.788939594700114322e-01 1.282652964440093336e-02 5.555329921001892490e-01
-7.945454701973039269e-01 6.163870915600380140e-01 1.614019452604298355e-02 5.416938419429134788e-01
-5.578402731935497849e-01 6.540516208253334129e-01 2.002998480467554909e-02 5.255364585105609665e-01
-3.241504290178753300e-01 6.831891406210112150e-01 2.383973669263839482e-02 5.090278276122877088e-01
-9.347593767027380374e-02 7.147690701642679389e-01 2.860353109580113934e-02 4.894282190139123134e-01
1.356908772632946236e-01 7.376934423564557308e-01 3.359837972108589699e-02 4.677913751131968501e-01
3.648576921968630371e-01 7.504196826201562365e-01 3.764673662274337779e-02 4.461545312124812757e-01
5.925168307163916070e-01 7.538476261255300237e-01 4.158258672996888866e-02 4.221994540366890702e-01
8.216836456499601038e-01 7.426211111454306124e-01 4.444471427556857118e-02 3.978228799017921036e-01
1.050850460583528490e+00 7.280952005414088601e-01 4.639546127835363076e-02 3.738678027259998982e-01
1.281524951931130030e+00 6.995575708591714736e-01 4.689419106172484225e-02 3.497019770706553121e-01
1.513707119692771608e+00 6.696916130686015878e-01 4.686361035585575457e-02 3.260278978675996697e-01
1.748904640282485712e+00 6.327983710920154214e-01 4.569361520167907614e-02 3.044613034600683332e-01
1.988625190114306163e+00 5.951766911205372823e-01 4.396372885239300393e-02 2.829649585457210681e-01
2.231361092774205801e+00 5.559267379840066026e-01 4.153501674306141894e-02 2.634355994405297996e-01
2.478620024676211564e+00 5.212616592859132814e-01 3.876916179001257956e-02 2.458732261444944722e-01
2.733417338648396644e+00 4.849683074227674751e-01 3.591685027345730558e-02 2.288728487939322709e-01
2.994245358276733882e+00 4.556165411580037627e-01 3.308001787962588230e-02 2.143312037048150376e-01
3.264119436389290030e+00 4.278073494706582935e-01 3.024847103989529787e-02 2.008433010134599017e-01
3.544547249400105127e+00 4.002552535462158834e-01 2.754453257774189950e-02 1.886198891994193549e-01
3.835528797309171622e+00 3.784449629932746806e-01 2.505843445245843973e-02 1.766072258649311888e-01
4.143094785772643007e+00 3.573202611414081908e-01 2.268522066118558098e-02 1.664210493532306823e-01
4.467245214790517949e+00 3.384665718618519725e-01 2.048907293229053350e-02 1.565158708142667665e-01
4.812503113604903682e+00 3.198699783451987577e-01 1.844243087653326535e-02 1.477346841662491028e-01
5.186406864285985741e+00 3.038014931637587623e-01 1.649017371543368138e-02 1.390237470114155938e-01
5.594987172489915395e+00 2.880758023328561790e-01 1.482560171325072659e-02 1.312260532679759006e-01
6.048797773114933385e+00 2.720930157390505366e-01 1.318745748157192435e-02 1.237796069904569390e-01
6.567438459543534890e+00 2.573100093721257253e-01 1.163690243213545521e-02 1.160521627402014005e-01
7.181062760056444283e+00 2.407701819586968162e-01 1.009654095132201529e-02 1.083949679831299889e-01
7.948470054801084039e+00 2.238447109009133462e-01 8.667176106626013968e-03 1.006675237328744643e-01
9.023443338009196069e+00 2.026771597552297355e-01 7.113978280139129744e-03 9.181608759167265987e-02
1.106634487902882213e+01 1.722970104388538704e-01 5.178332860499299320e-03 7.973317476400035297e-02
